номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,,Всего по позиции,,,,,,,1656.19,,1656.19,150,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
12,ТЦ_62.2.01.00_71_9717010827_24.07.2025_01_1.1,Беспроводная кнопка вызова персонала Call-Hear (CH-100),шт,1.0,1.0,1.0,,,15156.35,,15156.35,151,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,(Прокладка и монтаж сетей связи),,,,,,,,,,152,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,15156.35,153,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
13,ГЭСНм37-01-001-01,"Монтаж сосудов и аппаратов без механизмов на открытой площадке, масса сосудов и аппаратов: 0,03 т( прим. Установка вертикальной стойки для мнемосхемы с поручнем )",шт,1.0,1.0,1.0,,,,,,154,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,17.5,,,,,6549.55,155,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-36,"Средний разряд работы 3,6",чел.-ч,17.5,,17.5,,,374.26,,6549.55,156,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,118.9,157,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.03,,,,,11.75,158,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.03,,0.03,,,611.87,,18.36,159,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.03,,0.03,,,391.8,,11.75,160,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.17.04-042,Аппараты для газовой сварки и резки,маш.-ч,0.15,,0.15,4.35,1.23,5.35,,0.8,161,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.17.04-233,"Аппараты сварочные для ручной дуговой сварки, сварочный ток до 350 А",маш.-ч,2.52,,2.52,,,39.58,,99.74,162,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,650.68,163,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,01.3.02.08-0001,Кислород газообразный технический,м3,1.4,,1.4,114.64,0.78,89.42,,125.19,164,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,01.3.02.09-0022,Пропан-бутан смесь техническая,кг,0.24,,0.24,41.38,1.39,57.52,,13.8,165,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,01.7.03.04-0001,Электроэнергия,кВт-ч,2.592,,2.592,,,8.46,,21.93,166,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,01.7.11.07-0230,"Электроды сварочные для сварки низколегированных и углеродистых сталей УОНИ 13/55, Э50А, диаметр 4-5 мм",кг,3.5,,3.5,148.86,0.94,139.93,,489.76,167,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,7330.88,168,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
13.1,421/пр_2020_п.75_пп.а,Вспомогательные ненормируемые материальные ресурсы,%,2.0,,2.0,,,,,130.99,169,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,6561.3,170,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-079.0-1,НР Оборудование общего назначения,%,92.0,,92.0,,,,,6036.4,171,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-079,СП Оборудование общего назначения,%,49.0,,49.0,,,,,3215.04,172,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,16713.31,,16713.31,173,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
14,ТЦ_62.2.01.00_71_4345468380_24.07.2025_01_2.1,"Наклонная, вертикальная стойка с поручнем для мнемосхемы 630х800 мм, для помещения и улицы",шт,1.0,1.0,1.0,,,30769.15,,30769.15,174,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
