номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,1-100-23,"Средний разряд работы 2,3",чел.-ч,14.4,,0.00144,,,327.48,,0.47,97,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,3.43,98,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.001388,,,,,0.68,99,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.01.02-004,"Автогрейдеры среднего типа, мощность 99 кВт (135 л.с.)",маш.-ч,1.77,,0.000177,1933.0,1.32,2551.56,,0.45,100,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,1.77,,0.000177,,,526.3,,0.09,101,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.05-011,"Погрузчики одноковшовые универсальные фронтальные пневмоколесные, номинальная вместимость основного ковша 2,6 м3, грузоподъемность 5 т",маш.-ч,4.29,,0.000429,,,1591.81,,0.68,102,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-050,ОТм(Зтм) Средний разряд машинистов 5,чел.-ч,4.29,,0.000429,,,450.28,,0.19,103,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.08.03-030,"Катки самоходные пневмоколесные статические, масса 30 т",маш.-ч,7.08,,0.000708,2391.6,1.3,3109.08,,2.2,104,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,7.08,,0.000708,,,526.3,,0.37,105,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.13.01-038,"Машины поливомоечные, вместимость цистерны 6 м3",маш.-ч,0.74,,7.4e-05,1043.14,1.26,1314.36,,0.1,106,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.74,,7.4e-05,,,391.8,,0.03,107,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,0.02,108,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,01.7.03.01-0001,Вода,м3,5.0,,0.0005,35.71,0.89,31.78,,0.02,109,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
"П,Н",02.3.01.02,Песок для строительных работ природный,м3,0.0,,0.0,,,,,,110,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,4.6,111,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,1.15,112,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-021.0-1,НР Автомобильные дороги,%,147.0,,147.0,,,,,1.69,113,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-021,СП Автомобильные дороги,%,134.0,,134.0,,,,,1.54,114,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,78300.0,,7.83,115,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
8,ГЭСН27-07-015-04,"Укладка наземных тактильных плит на слой сухой цементно-песчаной смеси вручную, плита размером: 500х500х80 мм( учтен слой цем-песц смеси толщ.30мм)",10 шт,0.4,1.0,0.4,,,,,,116,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,"Объем=(1/0,5/0,5) / 10",,,,,,,,,,117,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.46,,,,,465.32,118,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-20,"Средний разряд работы 2,0",чел.-ч,3.65,,1.46,,,318.71,,465.32,119,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,194.17,120,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.276,,,,,108.13,121,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.13.01-038,"Машины поливомоечные, вместимость цистерны 6 м3",маш.-ч,0.09,,0.036,1043.14,1.26,1314.36,,47.32,122,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.09,,0.036,,,391.8,,14.1,123,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.6,,0.24,,,611.87,,146.85,124,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.6,,0.24,,,391.8,,94.03,125,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,0.33,126,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,01.7.03.01-0001,Вода,м3,0.026,,0.0104,35.71,0.89,31.78,,0.33,127,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
Н,04.3.02.13,Смеси цементно-песчаные,т,0.145,,0.058,,,,,,128,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
Н,05.2.04.04,Плиты бетонные тротуарные тактильные,м2,2.5,,1.0,,,,,,129,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,767.95,130,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,573.45,131,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-021.1-1,"НР Устройство покрытий дорожек, тротуаров, мостовых и площадок и прочее",%,113.0,,113.0,,,,,648.0,132,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-021.1,"СП Устройство покрытий дорожек, тротуаров, мостовых и площадок и прочее",%,77.0,,77.0,,,,,441.56,133,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,4643.78,,1857.51,134,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
